comment,sentiment
Teach me how can upload in no copyright movie,0
When you see the last bottle of hand sanitizer at the store:,0
Dude as a 7ft person If I face Dwayne I just beg and kiss his shoes lmao,1
incarceration is hard.,-1
Why Did Deckard Shaw Had To Start The Prison Fight,0
"Girl's locker room: Ew I hate PE
Boy's locker room:",0
2:30 What Cyberpunk 2077 keeps telling us...,0
How did Vin Diesel's char fight him?,0
Dope scene,0
Can we be honest the fast and furious wasn’t the same when these guys came in,1
Meanwhile in detention:,0
😎 LIKE A BOSS 😎,0
kip wayting bish,0
Revolutionary war colourized.,0
Dwayne Johnson aka the rock wow mr buffy,1
"Dammit paul carry the whole show man

I mean....it true man",1
The rock is literally like thanos with no infinity stones,0
i like the rock but hes on the juice....,0
Every of the guards be like: I hate my job,-1
Whats this song,0
Remember when the most worrisome things were Hectors Spoon Engines?,1
So corny but I love it,1
First thing he says is auto tune,1
Literally the first thing jack is literal auto tune,1
"Anyone can tell me, does real very strong fighters hit the wall as training.",1
0:49 the most British thing i ever heard!,1
"Shaw's right. Hobbs found the gun and started shooting before he threw the bomb. Hobbs is the one who didn't fight ""fair"".",1
why,0
1:06 and 1:08 and 1:43 and 1:48 and 2:33 and 2:40,0
F&F is literally transitioning into an indian movie. Look at those physics haha,0
Jaison Stathem best,1
3:1,0
Music name ?,0
Wow,1
Honestly you think at the beginning the rock would put a whole in the wall 😂,1
2:23 poor Matthew Santoro,-1
I think 3:19 made a mistake,0
Why does the rocks charecter have hulk like ability’s in this movie,0
I don’t know but I love it,1
It matches his physique,0
bad,-1
the rock is so overplayed.,0
"The Old man pushes in the Tesco queue 
The karen:er I've been waiting for thirty minutes
Old man 2:33",1
💋💋💋💋💋💋💋💋💋💋💋💋💋,0
They are hitting the body armour as if there is no body armor...,0
1:48 Talk about a prison riot.,0
I loved this scene.,1
Its not about car anymore..its cyborg fight🤣🤣,0
Seriously in irl who would get knocked between these Gentlemen??????,-1
Knocked out””””””,0
